REGION,SUBURB,LOCATION,TYPE,SURFACE,IMAGE_LINK,Location 1,LATITUDE,LONGITUDE
Belconnen,Kaleen,Maribrynong Ave Underpass Between Tyrrell And Moruya,Underpass Walls,Concrete,http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg,"(-35.22213891484769, 149.1111269309649)",-35.22213891484769,149.1111269309649
Belconnen,Melba,Old Depot Wall South Facing Tenis Court,Old Depot Building,Brick,http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg,"(-35.214225153760957, 149.05274050900337)",-35.214225153760957,149.05274050900337
Belconnen,Belconnen,Lake Ginninderra Bridge West,Underbridge,Concrete,http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg,"(-35.22892756879682, 149.07646363655954)",-35.22892756879682,149.07646363655954
Tuggeranong,Isabella Plains,Road Bridge Narooma St,Underpass,Concrete,http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg,"(-35.428739900105967, 149.0865929168742)",-35.428739900105967,149.0865929168742
Gungahlin,Nicholls,Kelleway Ave Underpass,Underpass Walls,Concrete,http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg,"(-35.178530385800101, 149.10598514662763)",-35.178530385800101,149.10598514662763
Gungahlin,Forde,Handbury Way Underpass,Underpass,Concrete,http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg,"(-35.158836547443805, 149.14939582547029)",-35.158836547443805,149.14939582547029
Weston Creek,Holder,Cotter Road Cycle Underpass,Underpass,Concete,http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg,"(-35.327229802407501, 149.05127453591766)",-35.327229802407501,149.05127453591766
Tuggeranong,Isabella Plains,Ashley Drive At Tuggeranong Creek,Underpass,Concrete,http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg,"(-35.425314712603253, 149.10322043041904)",-35.425314712603253,149.10322043041904
Inner South,Narrabundah,Jerrabomberra Sports Ground,Toilet Block,Concrete,http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg,"(-35.332428575575875, 149.14617002224725)",-35.332428575575875,149.14617002224725
Tuggeranong,Greenway,Athllon Dr Underpass,Underpass,Concrete,http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg,"(-35.397793866891227, 149.06878697962429)",-35.397793866891227,149.06878697962429
Woden Weston,Curtin,Mcculloch St Underpass,Underpass,Concrete,http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg,"(-35.316640818403378, 149.08181916127785)",-35.316640818403378,149.08181916127785
Belconnen,Kaleen,Maribrynong Ave Underpass Between Diamantina And Daintree Cres,Underpass Walls,Concrete,http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg,"(-35.232840557545487, 149.10679699531252)",-35.232840557545487,149.10679699531252
Belconnen,Belconnen,Lake Ginninderra Bridge East,Underbridge,Concrete,http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg,"(-35.22989872279846, 149.07772687941409)",-35.22989872279846,149.07772687941409
Belconnen,Latham,Ginninderra Dr Underpass Ginninderra Ck,Underpass Walls,Concrete,http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg,"(-35.210592020398295, 149.03695216752351)",-35.210592020398295,149.03695216752351
Woden Weston,Warramanga,Damala St Underpass,Underpass,Concrete,http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg,"(-35.349385672907317, 149.05725900089661)",-35.349385672907317,149.05725900089661
Tuggeranong,Calwell,Wall Of Bridge And Stormwater Drain Under Tharwa Dr,Underpass Stormwater Drain,Concrete,http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg,"(-35.437829819223879, 149.12366278834858)",-35.437829819223879,149.12366278834858
Inner North,Lyneham,Lyneham Primary School Oval,Toilet Block,Concrete,http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg,"(-35.25087953136395, 149.12913735345964)",-35.25087953136395,149.12913735345964
Woden Weston,Chifley,Chifley Oval Toilet Block,Toilet Block,Brick,http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg,"(-35.350818743608073, 149.07779158768264)",-35.350818743608073,149.07779158768264
Belconnen,Florey,John Cleland Cres Underpass Near Florey Shops,Underpass Walls,Concrete,http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg,"(-35.225452257669744, 149.05539411384902)",-35.225452257669744,149.05539411384902
Belconnen,Latham,Florey Dr Underpass,Underpass Walls,Concrete,http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg,"(-35.215151711452386, 149.01977551815139)",-35.215151711452386,149.01977551815139
Belconnen,Hawker,"Hawker College Basketball Court, Murranji Street",Hit Up Wall,Brick,http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg,"(-35.245808752531417, 149.03417326515699)",-35.245808752531417,149.03417326515699
Woden Weston,Chifley,Tuggeranong Pwy Underpass Between Warramanga And Chifley,Underpass Walls,Concrete,http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg,"(-35.357550035944421, 149.06946138447248)",-35.357550035944421,149.06946138447248
Gungahlin,Ngunnawal,Yerrabi Spillway Mirrabei Dr,Spillway,Concrete,http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg,"(-35.177800844895081, 149.12440893570235)",-35.177800844895081,149.12440893570235
Tuggeranong,Kambah,"Mount Neighbour Primary, Boddington Crescent",Hit Up Wall,Brick,http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg,"(-35.383498654873165, 149.05255827975085)",-35.383498654873165,149.05255827975085
Woden Weston,Woden,Launceston Street Underpass Near Phillip College,Underpass Walls,Concrete,http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg,"(-35.341373332711612, 149.08769687954356)",-35.341373332711612,149.08769687954356
