TAUBATE,Maximum Absolute Temperature,Maximum Average Temperature,Average Temperature,Minimum Average Temperature,Minimum Absolute Temperature,Rainfall (mm),Days with Rainfall >= 1mm,Relative Humidity,Sunshine Hours
Jan,36.7,30.2,23.3,17.7,10.9,233.5,17,76.8,170
Feb,40.1,30.5,23.5,17.8,12.6,192.1,14,76.7,168.2
Mar,36.2,29.9,22.9,17.8,11.6,173.5,12,76.8,179.5
Apr,34.2,,20.8,16.1,5.4,67.1,7,75.9,177.3
May,32.6,25.4,18.1,14.2,4.2,40.9,4,76.2,176.1
Jun,31,24.6,16.7,12.9,1.1,,4,75.7,175.6
Jul,32.1,24.4,16.4,12.6,0.9,31.1,4,72.5,188.9
Aug,35.6,26.4,18.2,14,2.6,41.7,4,69.1,186.2
Sep,37.8,27.6,20,15.7,3.8,64,6,69.2,158.8
Oct,38,27.5,20.7,,7.8,132.8,11,74,148.8
Nov,37.4,28.7,21.7,16.9,8.6,146.2,12,73.8,161.5
Dec,37.5,29.1,22.7,17.1,11,244.6,,76.8,155
